Category,Metric,Value
orders,total_orders,99441
orders,status_distribution.delivered,96478
orders,status_distribution.shipped,1107
orders,status_distribution.canceled,625
orders,status_distribution.unavailable,609
orders,status_distribution.invoiced,314
orders,status_distribution.processing,301
orders,status_distribution.created,5
orders,status_distribution.approved,2
orders,date_range.min,2016-09-04T21:15:19
orders,date_range.max,2018-10-17T17:30:18
order_values,mean,160.57763809214924
order_values,median,105.29
order_values,std,220.46496927761578
order_values,min,9.59
order_values,max,13664.08
order_values,q25,61.98
order_values,q75,176.87
order_values,total,15843553.239999998
payments,payment_types.credit_card,76795
payments,payment_types.boleto,19784
payments,payment_types.voucher,5775
payments,payment_types.debit_card,1529
payments,payment_types.not_defined,3
payments,installments_stats.mean,2.853348863176944
payments,installments_stats.max,24
reviews,score_distribution.5,57328
reviews,score_distribution.4,19142
reviews,score_distribution.1,11424
reviews,score_distribution.3,8179
reviews,score_distribution.2,3151
reviews,avg_score,4.08642062404257
customers,unique_customers,99441
customers,states.SP,41746
customers,states.RJ,12852
customers,states.MG,11635
customers,states.RS,5466
customers,states.PR,5045
customers,states.SC,3637
customers,states.BA,3380
customers,states.DF,2140
customers,states.ES,2033
customers,states.GO,2020
