customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,cluster,rank
1617b1357756262bfa56ab541c47bc16,334,1,13664.08,2,1,4,7,Potential_Customers,3,1
ec5b2ba62e574342386871631fafd3fc,46,1,7274.88,4,4,4,12,VIP_Clients,3,2
c6e2731c5b391845f6800c97401a43a9,563,1,6929.31,1,4,4,9,Loyal_Customers,3,3
f48d464a0baaea338cb25f816991ab1f,35,1,6922.21,4,4,4,12,VIP_Clients,3,4
3fd6777bbce08a352fddd04e4a7cc8f6,462,1,6726.66,1,1,4,6,Potential_Customers,3,5
05455dfa7cd02f13d132aa7a6a9729c6,279,1,6081.54,2,1,4,7,Potential_Customers,3,6
df55c14d1476a9a3467f131269c2477f,515,1,4950.34,1,4,4,9,Loyal_Customers,3,7
24bbf5fd2f2e1b359ee7de94defc4a15,498,1,4764.34,1,1,4,6,Potential_Customers,3,8
3d979689f636322c62418b6346b1c6d2,69,1,4681.78,4,1,4,9,Loyal_Customers,3,9
1afc82cd60e303ef09b4ef9837c9505c,26,1,4513.32,4,1,4,9,Loyal_Customers,3,10
cc803a2c412833101651d3f90ca7de24,90,1,4445.5,4,4,4,12,VIP_Clients,3,11
926b6a6fb8b6081e00b335edaf578d35,498,1,4194.76,1,3,4,8,Loyal_Customers,3,12
35a413c7ca3c69756cb75867d6311c0d,154,1,4175.26,3,1,4,8,Loyal_Customers,3,13
e9b0d0eb3015ef1c9ce6cf5b9dcbee9f,32,1,4163.51,4,4,4,12,VIP_Clients,3,14
3be2c536886b2ea4668eced3a80dd0bb,571,1,4042.74,1,1,4,6,Potential_Customers,3,15
eb7a157e8da9c488cd4ddc48711f1097,86,1,4034.44,4,4,4,12,VIP_Clients,3,16
c6695e3b1e48680db36b487419fb0398,529,1,4016.9100000000003,1,4,4,9,Loyal_Customers,3,17
31e83c01fce824d0ff786fcd48dad009,107,1,3979.55,4,1,4,9,Loyal_Customers,3,18
addc91fdf9c2b3045497b57fc710e820,216,1,3826.8,3,3,4,10,VIP_Clients,3,19
19b32919fa1198aefc0773ee2e46e693,161,1,3792.59,3,1,4,8,Loyal_Customers,3,20
66657bf1753d82d0a76f2c4719ab8b85,566,1,3736.22,1,2,4,7,Potential_Customers,3,21
7d03bf20fa96e80468bbf678eebbcb3f,476,1,3666.42,1,2,4,7,Potential_Customers,3,22
39d6658037b1b5a07d0a24d423f0bd19,554,1,3602.47,1,1,4,6,Potential_Customers,3,23
e7c905bf4bb13543e8df947af4f3d9e9,143,1,3526.4599999999996,3,4,4,11,VIP_Clients,3,24
3c7c62e8d38fb18a33a45db8021f2d69,55,1,3406.4700000000003,4,1,4,9,Loyal_Customers,3,25
0b16ce67087d02bf833c807e82b1992b,200,1,3358.24,3,1,4,8,Loyal_Customers,3,26
803cd9b04f9cd252c6a83a2ecdbc22c3,14,1,3351.35,4,3,4,11,VIP_Clients,3,27
46bb3c0b1a65c8399d0363cefbcc4f37,256,1,3297.4,2,2,4,8,Loyal_Customers,3,28
a7ea318cbe9df2ec79ab37cd7ca2135d,84,1,3256.14,4,3,4,11,VIP_Clients,3,29
f7622098214b4634b7fe7eee269b5426,89,1,3242.8399999999997,4,4,4,12,VIP_Clients,3,30
7e7d2271d6f55b03b0bd4615c5f2de6e,125,1,3209.72,3,2,4,9,Loyal_Customers,3,31
71901689c5f3e5adc27b1dd16b33f0b8,100,1,3195.74,4,2,4,10,VIP_Clients,3,32
c26acf0451e0f8ec1f5218731b9a51cf,282,1,3184.55,2,4,4,10,VIP_Clients,3,33
26dcb450c4b5b390e79e6d5d0f2c6535,36,1,3184.3399999999997,4,1,4,9,Loyal_Customers,3,34
a95f4bbcf95262b073e4afa481b59ff8,202,1,3155.82,3,3,4,10,VIP_Clients,3,35
0a209a88c2e3dc2981c79ad85c558059,328,1,3126.5,2,1,4,7,Potential_Customers,3,36
10a86619816f9d2afce3f45b04aabc71,324,1,3126.5,2,1,4,7,Potential_Customers,3,37
6152fbfc8a92ee25fd821740bd33b089,79,1,3122.72,4,2,4,10,VIP_Clients,3,38
c03dfaf5db49d8583edbb5627f92058d,15,1,3076.13,4,4,4,12,VIP_Clients,3,39
4312e816d88fa8bdb6246878f61cdad5,450,1,3048.27,1,2,4,7,Potential_Customers,3,40
3a4e4932f3e6976dd966f1d3c044d49e,539,1,3044.12,1,1,4,6,Potential_Customers,3,41
d7c94e22bfd332eb29b0f5badc3ce103,527,1,3042.3599999999997,1,4,4,9,Loyal_Customers,3,42
8dd4c93bfbebe2a77657d46ef959a7ac,420,1,3041.73,1,3,4,8,Loyal_Customers,3,43
fd78e5e3abdc375368456fe738694c00,521,1,3024.08,1,4,4,9,Loyal_Customers,3,44
1ff773612ab8934db89fd5afa8afe506,133,1,3018.6,3,1,4,8,Loyal_Customers,3,45
101c8d91278c4de9001566d27033f673,575,1,3016.01,1,1,4,6,Potential_Customers,3,46
9d4ba8752b5b737f45da0544b669552a,511,1,3009.53,1,3,4,8,Loyal_Customers,3,47
a8f345f82667eb421151dc7626147636,124,1,3005.06,3,3,4,10,VIP_Clients,3,48
a5c69c3bf293d341b6a56a4b7307c529,165,1,2960.05,3,3,4,10,VIP_Clients,3,49
a244afc7a1ec53f1aad296d1cd6e91ba,283,1,2938.17,2,3,4,9,Loyal_Customers,3,50
f41666558f4e35056a445c27c2ac3d8b,302,1,2913.48,2,4,4,10,VIP_Clients,3,51
ed583a2a1eaf0dedc33af816153e8b8c,58,1,2844.96,4,4,4,12,VIP_Clients,3,52
9f9717a71bd8f6e5600b4faad20c20fb,146,1,2838.2200000000003,3,3,4,10,VIP_Clients,3,53
55fd5d10a5036383fe19af015d2e5a80,93,1,2828.42,4,2,4,10,VIP_Clients,3,54
1be0dd2f660a5a04ee20d608075f1b83,470,1,2827.0,1,1,4,6,Potential_Customers,3,55
fced842c7dad61e8ce47b49229659718,124,1,2818.74,3,4,4,11,VIP_Clients,3,56
8e2c57611e09e143ec4ab76e38033bef,478,1,2794.5,1,3,4,8,Loyal_Customers,3,57
97dd9c6923b3237b650f1f4f3f2145ad,90,1,2787.87,4,3,4,11,VIP_Clients,3,58
8401401a8752eb431189e021b8009e37,430,1,2784.16,1,3,4,8,Loyal_Customers,3,59
e5df9583ddbe3f4f3857d9b667dfa609,112,1,2759.95,4,4,4,12,VIP_Clients,3,60
5f87c05477db2d22c63b718299c9c03e,276,1,2759.88,2,2,4,8,Loyal_Customers,3,61
3f083b9f62e687be8d84684c7d54c8db,511,1,2751.24,1,1,4,6,Potential_Customers,3,62
08dc68ad9ab343289844fa36f6963b8f,270,1,2734.66,2,1,4,7,Potential_Customers,3,63
19365ad6a18ccf1baf6eb71c30651096,437,1,2734.11,1,1,4,6,Potential_Customers,3,64
695476b5848d64ba0875324c88390206,251,1,2733.6299999999997,2,2,4,8,Loyal_Customers,3,65
