用户码,首次购买,最近购买,购买次数,总消费,总件数,购买天数,购买产品数,购买城市,R,F,M,活跃天数,R评分,F评分,M评分,RFM总分,客户层级
CUST001,2022-06-01 09:15:00,2022-06-13 09:15:00,5,724.0,11,4,5,北京,12,5,724.0,13,4,5,5,14,VIP客户
CUST002,2022-06-01 10:30:00,2022-06-10 15:55:00,4,373.0,4,4,4,上海,15,4,373.0,10,3,5,3,11,高价值客户
CUST003,2022-06-02 08:20:00,2022-06-05 08:55:00,2,248.0,6,2,2,深圳,21,2,248.0,4,3,1,2,6,一般客户
CUST004,2022-06-02 14:15:00,2022-06-15 14:20:00,3,370.5,4,3,3,广州,10,3,370.5,14,4,3,3,10,高价值客户
CUST005,2022-06-03 16:45:00,2022-06-17 09:50:00,3,652.0,5,3,2,杭州,8,3,652.0,14,4,4,5,13,VIP客户
CUST006,2022-06-04 13:25:00,2022-06-19 16:40:00,3,301.0,5,3,2,成都,6,3,301.0,16,5,4,3,12,高价值客户
CUST007,2022-06-05 15:30:00,2022-06-11 14:10:00,2,212.5,5,2,2,南京,14,2,212.5,6,4,2,2,8,成长客户
CUST008,2022-06-06 17:40:00,2022-06-12 17:30:00,2,184.0,3,2,2,西安,13,2,184.0,6,4,2,1,7,成长客户
CUST009,2022-06-07 14:50:00,2022-06-20 15:20:00,3,669.0,4,3,3,武汉,5,3,669.0,14,5,4,5,14,VIP客户
CUST010,2022-06-08 16:15:00,2022-06-22 14:35:00,3,379.5,6,3,3,重庆,3,3,379.5,14,5,4,4,13,VIP客户
CUST011,2022-06-09 13:20:00,2022-06-23 16:25:00,3,263.0,6,3,3,天津,2,3,263.0,15,5,5,2,12,高价值客户
CUST012,2022-06-11 08:25:00,2022-06-24 15:45:00,3,753.0,9,3,3,苏州,1,3,753.0,14,5,5,5,15,VIP客户
CUST013,2022-06-12 10:50:00,2022-06-19 11:30:00,2,434.0,3,2,2,青岛,6,2,434.0,8,5,2,4,11,高价值客户
CUST014,2022-06-13 15:40:00,2022-06-21 10:15:00,2,403.0,4,2,2,长沙,4,2,403.0,8,5,2,4,11,高价值客户
CUST015,2022-06-14 16:50:00,2022-06-22 08:50:00,2,156.0,2,2,2,厦门,4,2,156.0,8,5,3,1,9,成长客户
CUST016,2022-06-16 10:45:00,2022-06-23 11:40:00,2,256.0,2,2,2,大连,2,2,256.0,8,5,3,2,10,高价值客户
CUST017,2022-06-17 15:25:00,2022-06-25 08:55:00,2,386.0,2,2,2,郑州,1,2,386.0,8,5,3,4,12,高价值客户
CUST018,2022-06-18 14:55:00,2022-06-18 14:55:00,1,168.0,1,1,1,济南,7,1,168.0,1,5,1,1,7,成长客户
CUST019,2022-06-20 09:05:00,2022-06-20 09:05:00,1,178.0,2,1,1,合肥,5,1,178.0,1,5,1,1,7,成长客户
CUST020,2022-06-21 17:05:00,2022-06-21 17:05:00,1,288.0,1,1,1,福州,4,1,288.0,1,5,1,3,9,成长客户
CUST021,2022-06-24 09:30:00,2022-06-24 09:30:00,1,158.0,1,1,1,昆明,1,1,158.0,1,5,1,1,7,成长客户
