产品码,产品说明,品类,销量,订单数,总收入,均价
PROD012,进口牛肉,食品生鲜,6,3,1128.0,188.0
PROD013,进口红酒,食品生鲜,3,2,804.0,268.0
PROD002,加大男装T恤,服装,9,5,801.0,89.0
PROD010,进口橄榄油,食品生鲜,4,3,632.0,158.0
PROD005,泰国新鲜鳕鱼,食品生鲜,4,3,512.0,128.0
PROD009,进口咖啡豆,食品生鲜,5,3,440.0,88.0
PROD004,大连美早樱桃,食品生鲜,6,4,408.0,68.0
PROD014,进口茶叶,食品生鲜,3,2,384.0,128.0
PROD003,进口白心火龙果,食品生鲜,9,4,315.0,35.0
PROD006,有机蔬菜套餐,食品生鲜,7,4,315.0,45.0
PROD011,精选坚果礼盒,食品生鲜,3,2,294.0,98.0
PROD016,进口海鲜套餐,食品生鲜,1,1,288.0,288.0
PROD007,进口牛奶,食品生鲜,9,3,252.0,28.0
PROD008,手工巧克力,食品生鲜,4,3,232.0,58.0
PROD001,绿联usb分线器,数码配件,9,5,229.5,25.5
PROD018,进口零食大礼包,食品生鲜,1,1,198.0,198.0
PROD015,进口水果礼盒,食品生鲜,1,1,168.0,168.0
PROD017,进口奶酪,食品生鲜,2,1,156.0,78.0
