product_id,product_name,brand,root_category,category,final_price,initial_price,discount_pct,price_band,color,size,image_count
40460214,"Tall Narrow Bathroom Storage Cabinet With 3 Drawers And 2 Shelves, Free Standing Kitchen Pantry Organizer With Open Compartment, Water-Resistant Finish",SHEIN,Tools & Home Improvement,Storage Cabinets,120.99,120.99,0.0,超高价($100+),Grey,one-size,8
40351123,"1PC Natural Yellow Rainbow Halo Raw Crystal, Aromatherapist Stone, Home Decoration, Office Decoration, Holiday Gifts.",SHEIN,Jewelry & Watches,Crystal Shapes & Carvings,2.1,2.1,0.0,超低价($0-5),Multicolor,Electroplated Citrine,21
40433938,1PC Sexy Lingerie Body StockingOpen Crotch Hollow Out See Through Bodystocking Without Underwear,SHEIN,Underwear & Sleepwear,Women Sexy Bodysuits,2.14,3.39,36.87,超低价($0-5),Black,one-size,5
39962322,"Italian Genuine Leather Thick Belt For Men, Retro Solid Brass Buckle",SHEIN,Men,Men Belts,21.3,22.8,6.58,中高价($20-50),Black,one-size,10
39788871,Unbeatablesale Hylomar 61701 13.53 Oz Hylomar Cleaner Spray Can,Unbeatablesale,Home & Living,Other Commercial Cleaning Supplies,28.53,28.53,0.0,中高价($20-50),Multicolor,one-size,3
39744348,"1 Set Cup & Saucer, Cute Cat Pattern, High-End Coffee Cup & Saucer Set, Latte Art",SHEIN,Home & Living,Teacup & Saucer Sets,12.2,12.7,3.94,中价($10-20),White,150ML,10
40505782,"Unbeatablesale PIX North America MXV4-410 0.5 X 41 In. Heavy-Duty Lawn & Garden Equipment Belt,; Black",Unbeatablesale,Tools & Home Improvement,Tool Cases,16.98,16.98,0.0,中价($10-20),Multicolor,one-size,3
41434093,"30pcs,40in Rocket Balloons 6 Assorted Colors Flying Magic Long Balloons With Whistling Noise Premium-Quality Latex Balloon For Parties",SHEIN,Home & Living,Decorative Balloons,2.1,2.2,4.55,超低价($0-5),Multicolor,30pcs,6
14063170,"20pcs Artificial Green Plant Leaves Valentine'S Day Gift DIY Cake Decoration, Candy Box, Birthday Party Decoration, Wedding Flower Basket, Bride Holding Flowers, Home Decoration, Dining Room, Bedroom, Windowsill Decoration, Vase Ornaments, Valentine'S Day, New Year Decoration, Outdoor Garden, Start Of School Season",SHEIN,Home & Living,Artificial Plants,0.83,1.5,44.67,超低价($0-5),Multicolor,one-size,7
40438113,"10pcs Transparent Baking Boxes With Window, Dessert Box, Pastry Box,  Gift Box, Easy And Convenient, Safe For Food Contact, Can Be Mixed And Assembled Sweets, Chocolates, Perfect For Celebrations And Home Baking",SHEIN,Home & Living,Wrapping & Packaging,6.63,7.8,15.0,低价($5-10),White,10pcs,6
40871127,1PC Retro Resin Telephone Figurine Piggy Bank Vintage Coin Bank Phone Birthday Gift Coffee Shop Decor(17CM*14.5CM*16CM),SHEIN,Home & Living,Decorative Crafts,20.5,21.3,3.76,中高价($20-50),Retro Telephone,1PC,5
40470348,30pcs Nail Art Decorations DIY Art Punk Style Mixed Pumpkin/Spider/Bat/Witch/Vampire 3D Three-Dimensional Nail Art Decoration Accessories Jewelry,SHEIN,Beauty & Health,Rhinestones & Decorations,1.7,2.0,15.0,超低价($0-5),Multicolor,2408-1301 (30pcs Random Styles),13
29874249,"Juvale Wooden Drawer Organizer With 12 Compartments, Divided Tray For Arts And Crafts Supplies, Stationery, Small Items, 12 Grid Sorting Tray, Dark Brown (13.2 X 9.2 X 1.5 Inches) Halloween Decorations Halloween Costumes Autumn Decor Festival Decor",SHEIN,Home & Living,Storage Drawers,17.99,25.7,30.0,中价($10-20),Brown,one-size,9
