platform,title,brand,category,final_price_usd,initial_price_usd,currency,rating,reviews_count,has_discount,discount_pct,price_band,disc_level
Amazon,"Accutire MS-4021B Digital Tire Pressure Gauge with 4 Valve Caps, 5-150psi (psi, ",Accutire,"[""Automotive"",""Tools & Equipment"",""Tire & Wheel Tools"",""Tire",17.95,17.95,USD,4.4,8034.0,False,0.0,中价($15-30),无折扣
Amazon,PULOTE 100PCS Pink Plastic Plates - Heavy Duty Pink Disposable Plates - Pink and,PULOTE,"[""Health & Household"",""Household Supplies"",""Paper & Plastic""",44.99,44.99,USD,4.7,466.0,False,0.0,中高价($30-50),无折扣
Amazon,Aqua Select Resin Step in a Box White | Ultra Sturdy Steps,Aqua Select,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Parts ",399.99,399.99,USD,3.5,56.0,False,0.0,超高价(>$100),无折扣
Amazon,"Art3d 4-Piece Wood Slat Acoustic Panels for Stylish Decor and Noise Reduction, 3",Art3d,"[""Tools & Home Improvement"",""Paint, Wall Treatments & Suppli",161.49,199.99,USD,4.5,110.0,True,19.250962548127408,超高价(>$100),中度(15-30%)
Amazon,4th of July Door Sign Independence Day Wreath Patriotic Door Decoration Flower U,FANTPK,"[""Home & Kitchen"",""Home Décor Products"",""Home Décor Accents""",7.99,11.98,USD,4.2,24.0,True,33.30550918196995,低价($5-15),重度(>30%)
Amazon,In The Swim Chlorine Neutralizer for Swimming Pools - Quickly Reduces Chlorine S,In The Swim,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Cleani",19.56,22.56,USD,4.5,356.0,True,13.297872340425531,中价($15-30),轻度(<15%)
Amazon,Seresto Large Dog Vet-Recommended Flea & Tick Treatment & Prevention Collar for ,Seresto,"[""Pet Supplies"",""Dogs"",""Flea & Tick Control"",""Flea & Tick Co",103.0,146.38,USD,4.5,101767.0,True,29.635196065036208,超高价(>$100),中度(15-30%)
Amazon,"Reinforced Cat Screen Door, 32X82” Heavy Duty Pets Proof Screen Door with Bilate",MYPIN,"[""Pet Supplies"",""Cats"",""Cat Doors, Steps, Nets & Pens"",""Cat ",21.99,21.99,USD,4.1,141.0,False,0.0,中价($15-30),无折扣
Amazon,"2-2440-02 Flocculant for Pool, 1-Quart, 2-Pack",SpaChoice,"[""Patio, Lawn & Garden"",""Pools, Hot Tubs & Supplies"",""Cleani",37.99,37.99,USD,4.4,199.0,False,0.0,中高价($30-50),无折扣
Amazon,"HOST FREEZE Margarita Cocktail Glasses, Frozen Cup Plastic Margarita Glasses Dri",Host,"[""Home & Kitchen"",""Kitchen & Dining"",""Dining & Entertaining""",17.99,26.99,USD,4.6,5732.0,True,33.34568358651352,中价($15-30),重度(>30%)
