品牌,产品数,总销量,均价格,均评分,总库存,品类数,销量份额
苹果,3,2151,4999.0,4.833333333333333,223,1,6.605251036388761
耐克,2,1345,949.0,4.45,279,1,4.13020113618916
小米,2,1333,2149.0,4.45,256,1,4.093351758022417
腾讯,1,1234,99.0,4.5,999,1,3.7893443881467834
华为,2,1112,4499.0,4.6,178,1,3.414709043451558
优衣库,1,890,599.0,4.5,156,1,2.732995547366805
美的,2,889,1899.0,4.3,390,1,2.7299247658529096
海澜之家,1,889,199.0,4.3,456,1,2.7299247658529096
阿迪达斯,1,789,1199.0,4.5,156,1,2.422846614463381
中信出版社,2,779,124.0,4.699999999999999,456,1,2.392138799324428
乐高,1,678,199.0,4.8,456,1,2.081989866421004
李宁,1,667,699.0,4.5,345,1,2.048211269768156
飞利浦,1,667,799.0,4.5,234,1,2.048211269768156
重庆出版社,1,667,59.0,4.9,456,1,2.048211269768156
罗技,1,667,399.0,4.5,456,1,2.048211269768156
无印良品,1,667,599.0,4.4,234,1,2.048211269768156
九阳,1,667,599.0,4.3,345,1,2.048211269768156
欧普照明,1,667,399.0,4.4,345,1,2.048211269768156
索尼,2,601,3999.0,4.75,178,1,1.8455396898510672
人民邮电出版社,1,567,79.0,4.7,234,1,1.7411331183786274
ZARA,1,567,499.0,4.2,89,1,1.7411331183786274
安踏,1,556,699.0,4.4,234,1,1.707354521725779
Lululemon,1,556,399.0,4.6,167,1,1.707354521725779
新百伦,1,556,199.0,4.5,234,1,1.707354521725779
苏泊尔,1,556,899.0,4.4,234,1,1.707354521725779
联想,1,556,2999.0,4.5,89,1,1.707354521725779
湖南科学技术出版社,1,556,99.0,4.9,234,1,1.707354521725779
森马,1,556,299.0,4.2,234,1,1.707354521725779
太平鸟,1,556,399.0,4.4,234,1,1.707354521725779
欧莱雅,1,556,499.0,4.3,345,1,1.707354521725779
vivo,1,555,3499.0,4.5,89,1,1.704283740211884
Under Armour,1,445,999.0,4.4,156,1,1.3664977736834025
三星,1,445,1599.0,4.6,89,1,1.3664977736834025
兰蔻,1,445,159.0,4.6,78,1,1.3664977736834025
H&M,1,445,299.0,4.3,167,1,1.3664977736834025
雅漾,1,445,399.0,4.5,123,1,1.3664977736834025
特步,1,445,499.0,4.3,156,1,1.3664977736834025
清华大学出版社,1,445,69.0,4.7,167,1,1.3664977736834025
人民出版社,1,445,129.0,4.2,345,1,1.3664977736834025
花西子,1,445,299.0,4.7,167,1,1.3664977736834025
机械工业出版社,1,345,39.0,4.6,178,1,1.0594196222938737
格力,1,334,4999.0,4.6,89,1,1.0256410256410255
雅诗兰黛,1,334,299.0,4.7,234,1,1.0256410256410255
PUMA,1,334,3999.0,4.6,156,1,1.0256410256410255
Levi's,1,334,899.0,4.6,156,1,1.0256410256410255
人民文学出版社,1,334,149.0,4.7,234,1,1.0256410256410255
佳能,1,334,2999.0,4.8,67,1,1.0256410256410255
富士,1,334,3999.0,4.7,67,1,1.0256410256410255
科沃斯,1,333,1799.0,4.6,89,1,1.0225702441271305
海尔,1,333,4999.0,4.6,67,1,1.0225702441271305
SK-II,1,234,599.0,4.8,89,1,0.718562874251497
宜家,1,234,799.0,4.3,67,1,0.718562874251497
例外,1,234,1299.0,4.7,89,1,0.718562874251497
迪士尼,1,234,399.0,4.9,567,1,0.718562874251497
戴森,1,223,2999.0,4.7,89,1,0.6847842775986488
