用户ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_total,客户分群,用户年龄,用户性别,用户城市
U001,1,4,5296,5,1,2,8,一般客户,28,男,北京
U002,1,4,6156,5,1,3,9,一般客户,32,女,上海
U003,2,4,4176,1,2,2,5,流失风险客户,25,男,广州
U004,1,4,3856,5,2,1,8,一般客户,29,女,深圳
U005,1,4,6696,5,3,5,13,重要价值客户,35,男,成都
U006,2,4,4026,1,3,1,5,流失风险客户,26,女,杭州
U007,1,3,8497,5,1,5,11,重要发展客户,31,男,南京
U008,1,4,5496,5,4,3,12,重要发展客户,27,女,武汉
U009,1,4,6436,5,4,4,13,重要价值客户,33,男,西安
U010,1,4,6596,5,5,5,15,重要价值客户,29,女,重庆
U011,1,4,2496,5,5,1,11,重要发展客户,24,男,天津
U012,1,4,6256,5,5,4,14,重要价值客户,30,女,苏州
