用户ID,行为数,购买数,浏览数,均评分,总消费,均消费,品类数,商品数,转化率,用户年龄,用户性别,用户城市,年龄段
U001,5,4,1,4.2,5385,1077.0,4,5,0.8,28,男,北京,26-30
U002,5,4,1,4.2,6355,1271.0,4,5,0.8,32,女,上海,31-35
U003,5,4,1,3.8,4775,955.0,5,5,0.8,25,男,广州,≤25
U004,5,4,1,4.2,4155,831.0,5,5,0.8,29,女,深圳,26-30
U005,5,4,1,4.2,6755,1351.0,5,5,0.8,35,男,成都,31-35
U006,5,4,1,3.8,4725,945.0,5,5,0.8,26,女,杭州,26-30
U007,4,3,1,4.25,8596,2149.0,4,4,0.75,31,男,南京,31-35
U008,5,4,1,4.2,5895,1179.0,5,5,0.8,27,女,武汉,26-30
U009,5,4,1,4.2,7235,1447.0,5,5,0.8,33,男,西安,31-35
U010,5,4,1,4.2,6745,1349.0,5,5,0.8,29,女,重庆,26-30
U011,5,4,1,3.8,4495,899.0,5,5,0.8,24,男,天津,≤25
U012,5,4,1,4.2,6755,1351.0,5,5,0.8,30,女,苏州,26-30
